"Date","User","Domain","Sent Total","Sent MB Total","Received Total","Received MB Total","Sent Internal","Sent Internal MB","Sent External","Sent External MB","Received Internal","Received Internal MB","Received External","Received External MB","Sent Unique Total","Sent Unique MB Total","Sent Internal Unique","Sent Internal Unique MB","Sent External  Unique","Sent External Unique MB"
"8/5/2015","WEK","ECCO.COM","1","0.01","2","0.12","1","0.01","0","0.00","1","0.10","1","0.01","3","0.02","3","0.02","0","0.00"
"8/5/2015","re","ecco.com","13","0.68","9","3.06","8","0.41","5","0.27","0","0.00","9","3.06","5","0.23","5","0.23","3","0.14"
"8/5/2015","sukr","ecco.com","1","0.01","9","2.54","1","0.01","0","0.00","0","0.00","9","2.54","1","0.01","1","0.01","0","0.00"
"8/5/2015","DKHQEXC03-SA","ecco.com","0","0.00","48","0.23","0","0.00","0","0.00","48","0.23","0","0.00","0","0.00","0","0.00","0","0.00"
"8/5/2015","THJ","ECCO.COM","0","0.00","8","3.34","0","0.00","0","0.00","1","0.01","7","3.33","0","0.00","0","0.00","0","0.00"
"8/5/2015","DK-TO-RE-RO-PRO-01","ecco.com","1","0.01","0","0.00","1","0.01","0","0.00","0","0.00","0","0.00","1","0.01","1","0.01","0","0.00"
"8/5/2015","MAD","ecco.com","0","0.00","4","0.43","0","0.00","0","0.00","1","0.06","3","0.36","0","0.00","0","0.00","0","0.00"
"8/5/2015","YKA","ECCO.COM","2","0.74","39","11.80","2","0.74","0","0.00","2","0.70","37","11.09","1","0.37","1","0.37","0","0.00"
"8/5/2015","SYK","ECCO.COM","11","2.79","0","0.00","11","2.79","0","0.00","0","0.00","0","0.00","3","0.43","3","0.43","0","0.00"
"8/5/2015","TRTH","ECCO.COM","0","0.00","7","1.20","0","0.00","0","0.00","3","0.10","4","1.10","0","0.00","0","0.00","0","0.00"
"8/5/2015","FFI","ECCO.COM","0","0.00","5","0.32","0","0.00","0","0.00","1","0.06","4","0.26","0","0.00","0","0.00","0","0.00"
"8/5/2015","GV","ECCO.COM","33","4.72","5","0.56","14","3.52","19","1.21","0","0.00","5","0.56","33","3.86","21","3.25","14","0.82"
"8/5/2015","ANVA","ECCO.COM","20","0.25","25","1.59","20","0.25","0","0.00","20","0.45","5","1.14","10","0.12","10","0.12","0","0.00"
"8/5/2015","hgwe","ecco.com","0","0.00","8","0.90","0","0.00","0","0.00","3","0.13","5","0.77","0","0.00","0","0.00","0","0.00"
"8/5/2015","LWO","ECCO.COM","3","0.03","16","3.61","3","0.03","0","0.00","6","0.15","10","3.46","3","0.03","3","0.03","0","0.00"
"8/5/2015","JAVA","ECCO.COM","0","0.00","4","0.30","0","0.00","0","0.00","1","0.22","3","0.08","0","0.00","0","0.00","0","0.00"
"8/5/2015","HAM","ECCO.COM","0","0.00","9","0.64","0","0.00","0","0.00","1","0.32","8","0.32","0","0.00","0","0.00","0","0.00"
"8/5/2015","PUI","ECCO.COM","0","0.00","30","3.51","0","0.00","0","0.00","1","0.01","29","3.51","0","0.00","0","0.00","0","0.00"
"8/5/2015","DK-TO-RE-RO-CON-01","ecco.com","1","0.01","0","0.00","1","0.01","0","0.00","0","0.00","0","0.00","1","0.01","1","0.01","0","0.00"
"8/5/2015","MMF","ECCO.COM","0","0.00","2","0.02","0","0.00","0","0.00","1","0.01","1","0.01","0","0.00","0","0.00","0","0.00"
"8/5/2015","LUL","ecco.com","0","0.00","44","11.12","0","0.00","0","0.00","1","0.26","43","10.86","0","0.00","0","0.00","0","0.00"
"8/5/2015","mape","ecco.com","0","0.00","1","0.08","0","0.00","0","0.00","1","0.08","0","0.00","0","0.00","0","0.00","0","0.00"
"8/5/2015","HFP","ecco.com","0","0.00","15","1.38","0","0.00","0","0.00","1","0.22","14","1.17","0","0.00","0","0.00","0","0.00"
"8/5/2015","ORE","ECCO.COM","0","0.00","10","0.12","0","0.00","0","0.00","10","0.12","0","0.00","0","0.00","0","0.00","0","0.00"
"8/5/2015","ALHA","ECCO.COM","0","0.00","4","0.17","0","0.00","0","0.00","1","0.01","3","0.16","0","0.00","0","0.00","0","0.00"
